image_path,device_type,defect_type,text_prompt
data\Laptop-damage-detection-testing.v1i.coco\20240910152914_bottom_jpg.rf.20bb0a53732c49d7b5cb789e73bba178.jpg,laptop,battery swelling,The image shows a HP laptop with a swollen battery.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155352-0-_jpg.rf.48119fe3f15361339169a42a7bcd7464.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155342_jpg.rf.1c94692e4d3874c572f034f60b598e06.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\600014305_jpg.rf.ef4585b594c21a86020cae5e046435da.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\368522237_1996070060777759_2692032018839184843_n_jpg.rf.d58923a06393e2cf7e68d4b861a328cc.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153107_bottom_jpg.rf.e3b8f757da062073d69cc63fc246bbff.jpg,laptop,normal device,The device is a laptop.
data\Laptop-damage-detection-testing.v1i.coco\20240112_C223013901_jpg.rf.8d9ee620613d91db6fca3ae8fcec2e97.jpg,laptop,screen scratch,"The image shows a red screen with a small black dot in the middle. The dot is surrounded by a red square, and it appears to be a small black dot in the middle of the screen."
data\Laptop-damage-detection-testing.v1i.coco\387542258_743922817769641_992740013421046499_n_jpg.rf.d0f1da9830b092873794232b6fb05c4c.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387622487_291734880373638_5775984471605830976_n_jpg.rf.b45c57a962d04fe683af7f302363defd.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240906135024_top_jpg.rf.a8adbe8299e33826ef8093eae911be9a.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\99_jpeg_jpg.rf.7acec4f06fd6260eecaa3069455d11d0.jpg,laptop,keyboard malfunction,The keyboard is missing some keys.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-54-03_jpg.rf.c5875e53017e9e5b42698e85db93f118.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387542258_743922817769641_992740013421046499_n_jpg.rf.ab0f67257366958215c50e1cfb787328.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387505318_687512386648113_1787845701610241914_n_jpg.rf.f7b79ef3079f85d1ade98521f019f1ec.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-38-40_jpg.rf.4c595beb2f74b67122769095dfbae4fe.jpg,laptop,screen scratch,The image shows a screen with a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\99_jpeg_jpg.rf.c50f17d7977f231ab6980beae81629d9.jpg,laptop,keyboard malfunction,The keyboard is missing some keys.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155400_jpg.rf.d5ed631f952a10e43b86d1f4549029a9.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\370262362_811861507610740_5903580242507620236_n_jpg.rf.af9698658338fcbe93e336c3e42ce5e2.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-54-03_jpg.rf.70221d0480232454ce0c899cea06614e.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-16-38-47_jpg.rf.bd11ea5f6cd26a3c9d9c23dcbc7973db.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387458336_676778357743834_880618163784904241_n_jpg.rf.d0ca90699447a841f214ae537b5b01cf.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370060857_232952403109249_2201671253730766584_n_jpg.rf.f79c347ca6195e86aae3288257edbd43.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370120669_876293337526455_6973027296132937885_n_jpg.rf.849106b71b1704f94872b2e76cca0183.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\34_jpg.rf.fcbd5904d0b3220166a706bbd52267ea.jpg,laptop,screen scratch,The screen of the laptop is scratched.
data\Laptop-damage-detection-testing.v1i.coco\387568312_1013866739859589_7261385527298626043_n_jpg.rf.f79b602600d7e7fc0bd76ee4a3cb7b21.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160223-1-_jpg.rf.f615f57f1e12ef0f60915f6031995f48.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\20240906133458_top_jpg.rf.81da0bc92314d9fcff58a54b442f9772.jpg,laptop,normal device,The device is a laptop.
data\Laptop-damage-detection-testing.v1i.coco\47_jpg.rf.4b3767f53a46810c1aceba8f9ccb68f0.jpg,laptop,keyboard malfunction,The keyboard is missing a few keys.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160234_jpg.rf.be8211d9f625e3b6bb05879fd94fa08a.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\600014289_jpg.rf.0104ce11bb1d10cf66362463eda71891.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a visible crack."
data\Laptop-damage-detection-testing.v1i.coco\20240906135024_top_jpg.rf.d7d94ef6e0a80736fc9fff7c01ff3e3c.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153139_bottom_jpg.rf.d970535f67f235fd133fb074b8d99849.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\100_jpeg_jpg.rf.0fc541fbff692772c27afc1cc942188a.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\600014372_jpg.rf.73c8cdd43103511d15fe0016ec95df11.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387568312_1013866739859589_7261385527298626043_n_jpg.rf.d3198306262aaf1d6eca08f7ddf22d15.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240913123033_top_jpg.rf.bf80331f867698a61990c17243d91066.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153035_bottom_jpg.rf.bb959070420226553b81812e77f6ce57.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\4_jpg.rf.21b7b2f9281c7d38ca1b36f9e723b433.jpg,laptop,cracked screen,The screen is cracked and broken.
data\Laptop-damage-detection-testing.v1i.coco\387524123_344207471403509_7103473876227628963_n_jpg.rf.96c08d611d7723e37be8f90b12279982.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\386886175_1123892678989525_1858502656252888807_n_jpg.rf.ec87660b7c51d66927e12811955da733.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370196129_324140113630976_3836155530682924015_n_jpg.rf.750414b9e2443d490227f192766a3379.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\384537527_6505540196234790_6681892915337842260_n_jpg.rf.60eef71439fa512d51f237353a84be7c.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370151487_1627358067792700_2294245155332549098_n_jpg.rf.1a2a3eb754a37dc406146f1944d878ad.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\384539384_3350535248571785_1092115554516421472_n_jpg.rf.81b31492e92af38a1151b55c3c461efb.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-32-34_jpg.rf.7fdcb14f87450988342246de5c00aa63.jpg,laptop,charging port issue,The charging port is missing.
data\Laptop-damage-detection-testing.v1i.coco\1600016984_jpeg_jpg.rf.563c63e9868e92e3cd4ce2723413f28e.jpg,laptop,cracked screen,"The laptop's screen is cracked, which is a defect in the device."
data\Laptop-damage-detection-testing.v1i.coco\20240910152821_bottom_jpg.rf.45bba5dffa635dc8ed77a3b58b18ec4e.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\27_jpg.rf.238f3a014452e9e7edd24fc048aff659.jpg,laptop,screen scratch,The screen is cracked and has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\25_png_jpg.rf.2dacf2ead3e01e0755c02266297dcf7d.jpg,laptop,charging port issue,The charging port is missing.
data\Laptop-damage-detection-testing.v1i.coco\20240913123105_top_jpg.rf.98d271af8b9923ed20f065c0b8108bd6.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\1700012998_jpg.rf.55174f75c2f8ed93e9bdaf7eae5fbaf8.jpg,laptop,cracked screen,The screen is cracked.
data\Laptop-damage-detection-testing.v1i.coco\370120669_876293337526455_6973027296132937885_n_jpg.rf.7795f9abe429d28a29c789fec54a0888.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\-223013064-12-01-2024-1_jpeg.rf.c4937da45ba9fc985478ae2319b837a4.jpg,laptop,screen scratch,"The image shows a screen with a small pink dot in the middle. The screen appears to be scratched, which is the defect type. The pink dot is located in the middle of the screen, and the screen is white in color."
data\Laptop-damage-detection-testing.v1i.coco\20220907_160208-0-_jpg.rf.e1f2e6f61c399144a21f3abf4afc5531.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\277da103c55e117b1773783056f78f4d_jpg.rf.2387c5e7c29d8204a4049f62f67118de.jpg,laptop,display flickering,"The image shows a computer screen with a mouse cursor on it. The cursor is located in the middle of the screen. The screen is displaying a blue background with a white mouse cursor. The cursor is blurry, which indicates that the screen might be flickering or experiencing some technical issues."
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-47-18_jpg.rf.f0288201370d0d0dd9c775dbeb5c0a6b.jpg,laptop,charging port issue,The charging port is missing.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-31-32_jpg.rf.0c5480c62c456b531c9dc8efa0997297.jpg,laptop,keyboard malfunction,The keyboard is not functioning properly.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-32-34_jpg.rf.77e3cfbd5f628ff0c86e456332a23e41.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155359-0-_jpg.rf.4107148379eb7bd097acce96e68259c9.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\20240913122802_top_jpg.rf.e3cf6f29a9bd79eede6a87042482c693.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\57100059_151f1c705f4aad64db78e39ca559048c_800_jpg.rf.55ed80a3a329df3861c8cd9ce9701f9c.jpg,laptop,cracked screen,The screen is cracked.
data\Laptop-damage-detection-testing.v1i.coco\101_jpeg_jpg.rf.4d167a2cc386a7a513d97a98a049d785.jpg,laptop,keyboard malfunction,The keyboard is missing some keys.
data\Laptop-damage-detection-testing.v1i.coco\387458336_676778357743834_880618163784904241_n_jpg.rf.dede6d9eafca26f4d4c87c94b873fc8f.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240913123033_top_jpg.rf.8e7beca35bbe89943e5c46391b196073.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-38-53_jpg.rf.e02ed0c5acf50a105395151a445802ea.jpg,laptop,screen scratch,The screen has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155400_jpg.rf.b131ae992cf553b8d2c02a3d73617778.jpg,laptop,keyboard malfunction,The keyboard is black and white.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160225-1-_jpg.rf.99de05f3866790ccd6901dc21f267cb8.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\497_jpg.rf.39d2cc9e1f54483dee59d3d76e28a3cd.jpg,laptop,camera defect,The camera is not working properly.
data\Laptop-damage-detection-testing.v1i.coco\1900011761_png_jpg.rf.811124128f6fd9d2658a42099d755f93.jpg,laptop,normal device,The laptop is open.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155400_jpg.rf.9de95adb776f9545cdce79736b8cd894.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\370244757_339461181889105_482276015014448608_n_jpg.rf.9067cf0e7f591734910c8c95df2bdf0f.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240112_163254_jpg.rf.751a7fcd1d812a20d69eb67007931540.jpg,laptop,cracked screen,The screen is cracked.
data\Laptop-damage-detection-testing.v1i.coco\65_jpg.rf.e9876f49a5f6a015d5847912a2f8cc8a.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-38-40_jpg.rf.3dd6582fb88b66d6d3da2aac9a2f772e.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\600014336_jpg.rf.94f737065f5b7752428ef69a5b257bc5.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370082498_699386798909721_2604580787779817296_n_jpg.rf.eef3b3077ab56886b8bfdcf667f9dc17.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387505318_687512386648113_1787845701610241914_n_jpg.rf.b6d0ed76a0d9f022879e791dcc6f08a5.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\386477968_1344731392797029_5575715056584165488_n_jpg.rf.9d862c79777b1bb5016855da4a7c9c00.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387499907_336236638884977_5195396519144887320_n_jpg.rf.88a72aa10b0e7d31896ee85b020d99ec.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\101_jpeg_jpg.rf.28dfeb91e283717a7e327cd0b2465fa9.jpg,laptop,keyboard malfunction,The keyboard is missing some keys.
data\Laptop-damage-detection-testing.v1i.coco\20240906135024_top_jpg.rf.826cf25aaae21d6057a6566133441beb.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153116_bottom_jpg.rf.37d01bb44cb063ff64fc61851f6bfd44.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\98QtwkV9ivk_jpg.rf.89ad1a360f3dc854cbb46dbdf0ac8d1e.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a visible crack."
data\Laptop-damage-detection-testing.v1i.coco\20220907_155343-0-_jpg.rf.cfaf9019d77d35ed11359e7c2cb407a8.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\1900011710_png_jpg.rf.095a504ef4cf3fb5089087ac269ed5bf.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240906134724_top_jpg.rf.8a49e5176ece7e6141dbb20e55397cde.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\110_jpeg_jpg.rf.993ad9038b05c39de9f17c0db3528b10.jpg,laptop,keyboard malfunction,"The keyboard is missing a few keys, including the letters ""a"", ""s"", and ""d""."
data\Laptop-damage-detection-testing.v1i.coco\20220907_155352-0-_jpg.rf.8df7d70b0cb0af48e1101c5219f5329b.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\370196129_324140113630976_3836155530682924015_n_jpg.rf.c666294ca465bba238e738544655cd56.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\384537527_6505540196234790_6681892915337842260_n_jpg.rf.a44a1c314371ae64eb802c8d8f0ec7a6.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370262362_811861507610740_5903580242507620236_n_jpg.rf.e979822df7ab0e492f522ad3d27936f8.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-27-22_jpg.rf.53e5a187843242956d288cbd60026142.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387542258_743922817769641_992740013421046499_n_jpg.rf.f898a635dc876e82b106b494483470c7.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\7100014415_jpg.rf.03e48d0d0477c810668dfc7730fbe916.jpg,laptop,charging port issue,The charging port is damaged.
data\Laptop-damage-detection-testing.v1i.coco\7100014358_jpg.rf.f67d04eb36025bb807e607310296fadb.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2800013319_jpg.rf.d7b2726cc4756fc7d6e92eedae871820.jpg,laptop,cracked screen,The screen is cracked.
data\Laptop-damage-detection-testing.v1i.coco\20240906135024_top_jpg.rf.7fef3cf809e3c3e81d6f51a6a47b0c57.jpg,laptop,normal device,The laptop is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\12-icjcbbufbpe11_jpg.rf.0606db1e7701785cb2acabe4995b84b1.jpg,laptop,back panel damaging,"The back panel of the device is damaged, with a crack in the middle."
data\Laptop-damage-detection-testing.v1i.coco\20220907_160234_jpg.rf.023c783bf43f48a1dbab6ce13efd26b3.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\29-0b6iedux6mb21_jpg.rf.02d20f904cc1e79fd084daadb4fa9d6b.jpg,laptop,charging port issue,The charging port is broken.
data\Laptop-damage-detection-testing.v1i.coco\600014338_jpg.rf.616e1a7314631855711f8531d9488212.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\384537527_6505540196234790_6681892915337842260_n_jpg.rf.fe618b7c5f3e63edcaa9e4690bcaecc8.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153128_bottom_jpg.rf.f8312801beb9444dd7742fb2ed8204e1.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\166498_1587452281_2_jpg.rf.ef6619e219488d9e31052203a138270d.jpg,laptop,display flickering,The image is blurry.
data\Laptop-damage-detection-testing.v1i.coco\25_png_jpg.rf.d28a6a0646fa81eb6e8a896afa8ef29e.jpg,laptop,charging port issue,The charging port is missing.
data\Laptop-damage-detection-testing.v1i.coco\20240910153152_bottom_jpg.rf.298677a0135d713335a9253e107d2192.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\1800003410_png_jpg.rf.4cd54cf13c41e38958bad1238c92019c.jpg,laptop,back panel damaging,"The laptop's back panel is damaged, with a crack visible."
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-25-30_jpg.rf.82bff271f50ba66c3e94d62edcb63a11.jpg,laptop,charging port issue,The charging port is missing.
data\Laptop-damage-detection-testing.v1i.coco\20240910153107_bottom_jpg.rf.ce021486e6276f8dc69a6021a9196ebe.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155359-1-_jpg.rf.ff02f897f4dce7e1361b11859377957f.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160208-0-_jpg.rf.d4566d7974da6040fafa11d288fabbe7.jpg,laptop,keyboard malfunction,"The keyboard is missing a few keys, specifically the letters q, w, and e."
data\Laptop-damage-detection-testing.v1i.coco\387568312_1013866739859589_7261385527298626043_n_jpg.rf.5d5a2ad01a1b361d74de44fbacaa0da2.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155342_jpg.rf.1835527ef430bcaf2ada96178a90f409.jpg,laptop,keyboard malfunction,The keyboard is black.
data\Laptop-damage-detection-testing.v1i.coco\6100013138_jpg.rf.eea7afd1e61f786926c4b777c131fe9a.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370082498_699386798909721_2604580787779817296_n_jpg.rf.6ffa874540ab05c4935114a3c9f03246.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\700-700_jpg.rf.006d06241e2343cbb36d773575a5012e.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387499955_638124278199813_8136866318153395863_n_jpg.rf.705eb6f513a02c94265eba885d29db00.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\384537527_6505540196234790_6681892915337842260_n_jpg.rf.ecef228a8b9524445571500b44d6de72.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370059584_253807157654835_1991263673734689569_n_jpg.rf.368a6d67a6895c20d13f783c682d7f0e.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240906133458_top_jpg.rf.52d455b158ac5390244fe6379606aa5c.jpg,laptop,normal device,The device is a laptop.
data\Laptop-damage-detection-testing.v1i.coco\370228014_714353090587826_5061806500961603007_n_jpg.rf.55ef729340ce5bdb714db3aeda005cb6.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155343-0-_jpg.rf.a370aead3c2770b349c78b733b49cc00.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160234_jpg.rf.286c925ef1c9bc07da24f434faaacbb6.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\20240913123144_top_jpg.rf.bf251e9bab1b547e6af69ed6bff856bd.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-32-34_jpg.rf.c3f2de19299376177b5443ec7bbf1566.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-17-59-10_jpg.rf.9becfc9851837d5d12a4b43607323729.jpg,laptop,back panel damaging,The back panel of the computer is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240112_163254_jpg.rf.709c443fe930379e440d3b4e87586180.jpg,laptop,screen scratch,The screen has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\-223013237_jpeg.rf.4f64389e4a8a74003a0ac98205605a59.jpg,laptop,display flickering,The image is a green screen with a flickering display.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-16-40-18_jpg.rf.458cec2db565035cfc3e3e9a917ec61a.jpg,laptop,cracked screen,The screen is cracked.
data\Laptop-damage-detection-testing.v1i.coco\20240910152812_bottom_jpg.rf.d76627337b3015e3e1e1a7b9ec3691e2.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\1-w9ygt_jpg.rf.569883f5b12430802f11384251851f44.jpg,laptop,back panel damaging,"The back panel of the device is damaged, with a visible crack."
data\Laptop-damage-detection-testing.v1i.coco\20220907_155359-1-_jpg.rf.bacee402472d0900b51c59bebee40d66.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155359-1-_jpg.rf.40978a11d3a5c1d89ed6ff00821f8e2e.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\5-maxresdefault_jpg.rf.adce68a636ac2928101dc190b4d9011c.jpg,laptop,screen scratch,The image shows a crack in the screen of a laptop.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-17-37-46_jpg.rf.42e8c16d9298c143854bce8d35138baf.jpg,laptop,charging port issue,The charging port is broken.
data\Laptop-damage-detection-testing.v1i.coco\385498683_853287709530521_1400322349940815434_n_jpg.rf.9370907708992fc28d04ea3a3da36620.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\7100014439_jpg.rf.6d5a5c0166288a015ea2ad290afe157e.jpg,laptop,charging port issue,The charging port is broken.
data\Laptop-damage-detection-testing.v1i.coco\385395849_1105680957079749_7655585593885085062_n_jpg.rf.e9c26f531dab905cda8dad5154667e83.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153128_bottom_jpg.rf.d09659c34ce63108ae1d3ab1b2f8e45e.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153128_bottom_jpg.rf.9e5cb9a016ca7f1d71d428c1fb436ab5.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\6100013186_jpg.rf.93e9b7474acec0ecb9206d15913227b5.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160208-0-_jpg.rf.810839d4d035c27cd5600d3391e6603f.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155342_jpg.rf.e2efaf4492cf8c19e18908d4ae464c68.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\368522237_1996070060777759_2692032018839184843_n_jpg.rf.dde5eab0dd63c4744339b901cbffaba4.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\11_jpg.rf.abcf8e20c33f9b187ce4849725c66eb2.jpg,laptop,screen scratch,The screen is cracked and has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-13-47-36_jpg.rf.553598d5027869a4b81a9e247f64e4af.jpg,laptop,battery swelling,The image shows a cell phone with a swollen battery.
data\Laptop-damage-detection-testing.v1i.coco\387588554_724350416221349_3031443269795842578_n_jpg.rf.cd206d9610890f52adff1fa9cac1d054.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a visible tear."
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-16-49-34_jpg.rf.b6a414614ea1d6d1191edc7b7a11f9ba.jpg,laptop,charging port issue,The charging port is missing.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-13-47-36_jpg.rf.af5faf4cd9ba62412f69e54c39d3af7b.jpg,laptop,back panel damaging,The back panel of the device is damaged.
